amount,user_id,date,transaction_type,category,amount.1,payment_mode,location,notes,month,weekday,year,description,transaction_id
T7632,U130,04-10-2022,Expense,Rentt,47161.0,Bank Transfr,ahmedabad,Monthly rent payment,10,Tuesday,2022.0,,
T9471,U146,03-11-2022,Expense,Rentt,35442.0,csh,KOLKATA,Petrol,11,Thursday,2022.0,,
T10503,U012,19-04-2024,Expense,Utility,3227.0,CRD,Ahmedabad,Electricity bill,4,Friday,2024.0,,
T13349,U120,09-09-2024,Expense,food,5243.0,BankTransfer,Ahmedabad,ATM withdrawal,9,Monday,2024.0,,
T6986,U076,16-08-2023,Expense,travel,9124.0,Card,hyderabad,Lunch,8,Wednesday,2023.0,,
T11183,U116,29-07-2021,Income,Bonus,78729.0,upi,Ahmedabad,Doctor consultation,7,Thursday,2021.0,,
T4111,U027,12-08-2021,Expense,TRAVEL,3380.0,UPI,ahmedabad,Petrol,8,Thursday,2021.0,,
T10764,U125,03-06-2022,Expense,rent,4234.0,BankTransfer,CHE,Gym membership,6,Friday,2022.0,,
T13226,U008,11-03-2023,Expense,Misc,3989.0,CARD,MUM,,3,Saturday,2023.0,,
T6634,U128,05-08-2022,Expense,entertainment,4736.0,,jaipur,Internet bill,8,Friday,2022.0,,
T10758,U021,06-04-2022,Expense,Foods,999999999.0,Bank Transfer,,,4,Wednesday,2022.0,,
T4325,U036,15-08-2023,Expense,Fod,9606.0,UPI,HYD,Monthly rent payment,8,Tuesday,2023.0,,
T9947,U124,16-03-2022,Expense,food,4577.0,card,Delhi,Electricity bill,3,Wednesday,2022.0,,
T13508,U009,06-04-2024,Expense,Rnt,3700.0,bank transfer,Mumbai,,4,Saturday,2024.0,,
T7982,U012,26-12-2024,Expense,Utility,1152.0,upi,KOLKATA,Monthly rent payment,12,Thursday,2024.0,,
T3267,U032,18-09-2021,Expense,Saving,997.0,Bank Transfer,chennai,,9,Saturday,2021.0,,
T0329,U094,16-08-2021,Expense,Educaton,9255.0,CRD,DEL,,8,Monday,2021.0,,
T0045,U128,16-04-2021,Expense,Rnt,8041.0,card,Mumbai,!!!,4,Friday,2021.0,,
T11345,U080,20-03-2024,Expense,health,6327.0,csh,BAN,...,3,Wednesday,2024.0,,
T12680,U104,05-12-2024,Expense,Rnt,4852.0,UPI,JAI,Lunch,12,Thursday,2024.0,,
T4923,U047,28-02-2021,Income,Investment,42752.0,BankTransfer,CHE,Movie tickets,2,Sunday,2021.0,,
T4977,U100,29-05-2024,Expense,food,3309.0,UPI,KOL,Petrol,5,Wednesday,2024.0,,
T0288,U010,14-09-2023,Expense,Entrtnmnt,6882.0,UPI,hyderabad,,9,Thursday,2023.0,,
T7051,U145,24-05-2023,Expense,rent,3517.0,upi,kolkata,Gym membership,5,Wednesday,2023.0,,
T13878,U008,05-08-2023,Expense,Other,6281.0,CARD,BANGALORE,,8,Saturday,2023.0,,
T2485,U013,17-05-2021,Expense,FOOD,9422.0,upi,mumbai,Monthly rent payment,5,Monday,2021.0,,
T9989,U135,29-08-2022,Expense,Rentt,7471.0,Upi,LUC,Gym membership,8,Monday,2022.0,,
T3222,U113,22-05-2021,Expense,Traval,4747.0,card,chennai,test,5,Saturday,2021.0,,
T7011,U069,24-12-2024,Expense,Foodd,4060.0,csh,pune,Petrol,12,Tuesday,2024.0,,
T10593,U022,15-03-2021,Expense,Fod,493.0,Card,,EMI payment,3,Monday,2021.0,,
T13898,U113,12-08-2021,Expense,others,2278.0,UPI,HYDERABAD,,8,Thursday,2021.0,,
T3865,U044,13-10-2023,Expense,EDU,2272.0,cash,chennai,,10,Friday,2023.0,,
T8582,U099,02-08-2022,Income,Freelance,34663.0,Card,CHE,Monthly rent payment,8,Tuesday,2022.0,,
T2764,U096,23-03-2021,Expense,rent,6618.0,cash,HYDERABAD,,3,Tuesday,2021.0,,
T2880,U093,23-01-2024,Income,Investment,66981.0,Cash,Bangalore,,1,Tuesday,2024.0,,
T12140,U126,21-09-2023,Expense,travel,5708.0,upi,DELHI,!!!,9,Thursday,2023.0,,
T5295,U100,15-05-2023,Income,Investment,39046.0,Cash,bangalore,misc,5,Monday,2023.0,,
T3739,U098,27-09-2024,Expense,Utilities,5617.0,Csh,mumbai,Internet bill,9,Friday,2024.0,,
T4170,U148,21-09-2024,Expense,FOOD,2460.0,CRD,AHM,Lunch,9,Saturday,2024.0,,
T12033,U129,12-10-2023,Expense,Entertain,8846.0,Bank Transfer,hyderabad,Shopping,10,Thursday,2023.0,,
T2099,U113,28-05-2021,Expense,Foods,1785.0,card,BANGALORE,asdfgh,5,Friday,2021.0,,
T7875,U091,18-01-2024,Expense,travel,8372.0,Bank Transfer,PUN,Shopping,1,Thursday,2024.0,,
T7913,U133,06-10-2021,Expense,Utilties,5400.0,Bank Transfer,bangalore,Medicine,10,Wednesday,2021.0,,
T0571,U060,30-04-2022,Income,Others,18437.0,Cash,HYD,Monthly rent payment,4,Saturday,2022.0,,
T0719,U039,01-10-2024,Expense,Travel,999999999.0,upi,jaipur,Monthly rent payment,10,Tuesday,2024.0,,
T0371,U051,23-01-2023,Income,Bonus,39977.0,CRD,BANGALORE,Electricity bill,1,Monday,2023.0,,
T0731,U148,01-12-2024,Expense,education,3983.0,Csh,DELHI,xyz123,12,Sunday,2024.0,,
T5710,U111,24-01-2023,Expense,HEALTH,9718.0,bank transfer,pune,ATM withdrawal,1,Tuesday,2023.0,,
T13704,U111,10-06-2022,Expense,Traval,4935.0,cash,DEL,Restaurant dinner,6,Friday,2022.0,,
T0047,U071,30-04-2023,Expense,Utilities,4991.0,CARD,HYDERABAD,,4,Sunday,2023.0,,
T4435,U009,31-01-2024,Expense,Educaton,5425.0,bank transfer,KOL,Books,1,Wednesday,2024.0,,
T4280,U066,26-11-2022,Expense,Utlities,8928.0,Cash,BAN,,11,Saturday,2022.0,,
T2501,U036,19-09-2023,Expense,Fod,2911.0,Crd,,Train ticket,9,Tuesday,2023.0,,
T4843,U066,22-07-2023,Expense,education,8855.0,cash,HYDERABAD,Restaurant dinner,7,Saturday,2023.0,,
T0972,U041,24-12-2023,Income,Freelance,46163.0,card,Chennai,Restaurant dinner,12,Sunday,2023.0,,
T12357,U021,14-09-2024,Expense,entertainment,5593.0,Upi,delhi,Internet bill,9,Saturday,2024.0,,
T11142,U085,23-09-2024,Expense,FOOD,1515.0,Bank Transfer,chennai,Coffee,9,Monday,2024.0,,
T5639,U017,14-03-2021,Income,Salary,62348.0,Crd,Hyderabad,Uber ride,3,Sunday,2021.0,,
T7553,U095,18-06-2023,Expense,TRAVEL,9391.0,cash,,,6,Sunday,2023.0,,
T6890,U001,08-02-2023,Expense,Food,3885.0,Bank Transfer,KOLKATA,,2,Wednesday,2023.0,,
T1998,U121,31-10-2021,Expense,uncategorized,9835.0,Crd,lucknow,ATM withdrawal,10,Sunday,2021.0,,
T0388,U102,29-06-2021,Expense,Utilities,3183.0,CARD,JAIPUR,Medicine,6,Tuesday,2021.0,,
T2724,U104,22-06-2021,Expense,Utilties,6695.0,Card,,asdfgh,6,Tuesday,2021.0,,
T7586,U149,11-01-2022,Expense,Entertainment,9509.0,Card,kolkata,,1,Tuesday,2022.0,,
T0692,U113,19-03-2022,Expense,Rentt,33767.0,Bank Transfr,lucknow,test,3,Saturday,2022.0,,
T10739,U146,20-01-2021,Expense,food,8808.0,CASH,PUNE,Medicine,1,Wednesday,2021.0,,
T13974,U050,09-07-2022,Income,Bonus,77428.0,Cash,CHE,...,7,Saturday,2022.0,,
T6136,U092,01-03-2021,Expense,Education,5726.0,CARD,KOLKATA,Restaurant dinner,3,Monday,2021.0,,
T2449,U067,12-05-2024,Expense,Foods,3315.0,card,Ahmedabad,Fixed deposit,5,Sunday,2024.0,,
T9084,U048,28-11-2024,Expense,Fod,3381.0,UPI,KOLKATA,Grocery shopping,11,Thursday,2024.0,,
T12329,U052,16-09-2023,Income,Freelance,20825.0,Bank_Transfer,JAI,Restaurant dinner,9,Saturday,2023.0,,
T6132,U115,30-12-2021,Expense,Entertainment,2556.0,csh,JAI,...,12,Thursday,2021.0,,
T2712,U075,01-09-2022,Income,Freelance,39709.0,CASH,Delhi,!!!,9,Thursday,2022.0,,
T11559,U116,09-05-2023,Expense,Utilties,2988.0,Bank Transfer,lucknow,...,5,Tuesday,2023.0,,
T11727,U081,22-04-2024,Expense,Rentt,16728.0,,Bangalore,asdfgh,4,Monday,2024.0,,
T8704,U118,14-04-2021,Expense,Food,3418.0,,mumbai,Electricity bill,4,Wednesday,2021.0,,
T0792,U146,12-01-2022,Expense,Rnt,5581.0,bank transfer,BAN,!!!,1,Wednesday,2022.0,,
T13619,U032,11-12-2022,Income,Salary,71355.0,card,Hyderabad,,12,Sunday,2022.0,,
T2969,U145,11-01-2024,Expense,Fod,838.0,CASH,kolkata,!!!,1,Thursday,2024.0,,
T2168,U079,01-04-2024,Expense,Utlities,7181.0,Upi,Mumbai,Online course,4,Monday,2024.0,,
T7768,U140,13-06-2023,Expense,Traval,4324.0,Upi,kolkata,,6,Tuesday,2023.0,,
T12600,U077,05-03-2022,Expense,Entertain,5609.0,upi,MUM,Movie tickets,3,Saturday,2022.0,,
T7470,U111,02-11-2022,Income,Investment,30247.0,Bank Transfr,PUNE,Gym membership,11,Wednesday,2022.0,,
T4420,U052,04-12-2024,Expense,Utility,7493.0,,BAN,Fixed deposit,12,Wednesday,2024.0,,
T2470,U046,05-05-2021,Income,Bonus,65615.0,csh,pune,Medicine,5,Wednesday,2021.0,,
T5443,U044,28-05-2023,Expense,Fod,6167.0,CASH,hyderabad,Uber ride,5,Sunday,2023.0,,
T2396,U135,24-09-2024,Income,Investment,70327.0,Cash,DELHI,xyz123,9,Tuesday,2024.0,,
T12179,U042,13-04-2023,Expense,travel,5205.0,BankTransfer,Pune,Shopping,4,Thursday,2023.0,,
T11771,U057,06-09-2022,Expense,utilities,7756.0,Bank Transfr,chennai,Petrol,9,Tuesday,2022.0,,
T11677,U016,27-02-2022,Expense,EDU,1515.0,BankTransfer,Ahmedabad,,2,Sunday,2022.0,,
T4859,U110,08-06-2023,Expense,FOOD,5624.0,bank transfer,LUCKNOW,,6,Thursday,2023.0,,
T6022,U041,01-11-2021,Expense,RENT,5282.0,CARD,Chennai,Shopping,11,Monday,2021.0,,
T4235,U004,22-04-2024,Expense,RENT,4983.0,Upi,KOLKATA,Grocery shopping,4,Monday,2024.0,,
T10121,U139,12-09-2021,Expense,RENT,1558.0,Bank Transfer,,Doctor consultation,9,Sunday,2021.0,,
T8403,U116,22-02-2021,Expense,EDU,7996.0,Bank Transfr,HYDERABAD,EMI payment,2,Monday,2021.0,,
T7619,U077,04-07-2022,Expense,Travel,2747.0,Card,delhi,!!!,7,Monday,2022.0,,
T0740,U052,09-06-2022,Expense,Rent,999999999.0,Bank Transfr,MUMBAI,xyz123,6,Thursday,2022.0,,
T0188,U085,14-04-2024,Income,Bonus,71894.0,Bank_Transfer,MUM,Shopping,4,Sunday,2024.0,,
T5698,U085,10-05-2022,Expense,Food,2142.0,upi,hyderabad,Uber ride,5,Tuesday,2022.0,,
T11580,U066,21-10-2022,Expense,Entrtnmnt,794.0,BankTransfer,,Online course,10,Friday,2022.0,,
T8056,U143,12-01-2023,Expense,entertainment,4205.0,cash,LUCKNOW,Coffee,1,Thursday,2023.0,,
T6253,U039,08-11-2024,Expense,travel,222.0,upi,kolkata,Lunch,11,Friday,2024.0,,
T10828,U148,23-08-2021,Income,Freelance,75155.0,UPi,JAIPUR,!!!,8,Monday,2021.0,,
T8985,U147,13-02-2022,Income,Salary,28546.0,Csh,,xyz123,2,Sunday,2022.0,,
T1084,U009,18-12-2021,Expense,Rnt,8444.0,card,Kolkata,,12,Saturday,2021.0,,
T3209,U143,12-11-2021,Expense,Food,812.0,card,KOLKATA,,11,Friday,2021.0,,
T13504,U087,24-02-2021,Expense,FOOD,1417.0,UPi,pune,Grocery shopping,2,Wednesday,2021.0,,
T5359,U043,12-11-2024,Expense,Rent,44120.0,CRD,KOL,Restaurant dinner,11,Tuesday,2024.0,,
T10419,U129,06-11-2023,Expense,Foodd,4990.0,Bank_Transfer,Chennai,Doctor consultation,11,Monday,2023.0,,
T1586,U118,08-09-2024,Expense,Foods,4220.0,cash,hyderabad,test,9,Sunday,2024.0,,
T8738,U041,22-04-2024,Expense,Rnt,122.0,CASH,DELHI,Restaurant dinner,4,Monday,2024.0,,
T10257,U037,27-05-2024,Income,Freelance,41869.0,bank transfer,KOL,test,5,Monday,2024.0,,
T2410,U107,28-02-2022,Expense,Entrtnmnt,6506.0,Csh,jaipur,Monthly rent payment,2,Monday,2022.0,,
T13500,U128,21-03-2022,Expense,Food,3124.0,Bank Transfer,ahmedabad,...,3,Monday,2022.0,,
T6960,U003,08-10-2024,Expense,food,6437.0,UPi,HYDERABAD,Books,10,Tuesday,2024.0,,
T4571,U059,23-02-2024,Expense,Traval,8870.0,CARD,Hyderabad,EMI payment,2,Friday,2024.0,,
T3693,U146,12-10-2022,Expense,utilities,1464.0,Upi,Delhi,misc,10,Wednesday,2022.0,,
T12256,U024,29-06-2021,Expense,Rent,35836.0,bank transfer,Chennai,,6,Tuesday,2021.0,,
T9077,U110,25-06-2022,Expense,Food,2346.0,bank transfer,ahmedabad,,6,Saturday,2022.0,,
T5473,U027,21-07-2022,Expense,savings,3541.0,CASH,Kolkata,Internet bill,7,Thursday,2022.0,,
T3662,U068,25-09-2022,Expense,Entertain,9419.0,Card,Chennai,,9,Sunday,2022.0,,
T6973,U062,14-04-2022,Income,Investment,43138.0,Upi,AHM,Books,4,Thursday,2022.0,,
T12551,U041,19-03-2024,Income,Bonus,69498.0,CASH,,Uber ride,3,Tuesday,2024.0,,
T5776,U016,12-10-2023,Expense,Others,8147.0,csh,Ahmedabad,asdfgh,10,Thursday,2023.0,,
T11159,U120,20-09-2024,Income,Salary,30590.0,Cash,mumbai,Monthly rent payment,9,Friday,2024.0,,
T3787,U066,17-05-2024,Income,Salary,345332.0,card,BANGALORE,Train ticket,5,Friday,2024.0,,
T12061,U109,08-08-2024,Expense,RENT,5384.0,BankTransfer,HYD,!!!,8,Thursday,2024.0,,
T3621,U036,06-07-2024,Expense,Entertainment,4876.0,CARD,LUCKNOW,Internet bill,7,Saturday,2024.0,,
T5029,U030,22-05-2023,Expense,travel,6900.0,BankTransfer,,EMI payment,5,Monday,2023.0,,
T11603,U064,20-09-2021,Income,Bonus,23156.0,UPi,Kolkata,asdfgh,9,Monday,2021.0,,
T11016,U103,14-10-2024,Expense,OTHERS,3974.0,Cash,Delhi,,10,Monday,2024.0,,
T5405,U048,19-08-2023,Expense,Utilties,3359.0,Card,,Online course,8,Saturday,2023.0,,
T8080,U022,01-08-2024,Expense,entertainment,1467.0,CARD,Chennai,,8,Thursday,2024.0,,
T11149,U073,31-12-2024,Expense,HEALTH,9811.0,CRD,chennai,Fixed deposit,12,Tuesday,2024.0,,
T11444,U024,04-08-2024,Expense,Saving,3234.0,CASH,KOLKATA,test,8,Sunday,2024.0,,
T0438,U027,30-12-2021,Expense,rent,6422.0,CASH,,Petrol,12,Thursday,2021.0,,
T7957,U147,08-11-2022,Expense,Foods,4585.0,UPi,jaipur,,11,Tuesday,2022.0,,
T2134,U127,17-02-2022,Expense,travel,1758.0,upi,,,2,Thursday,2022.0,,
T11064,U044,05-03-2022,Expense,RENT,2348.0,Cash,LUC,,3,Saturday,2022.0,,
T1549,U029,06-07-2022,Expense,Entertainment,3609.0,Bank Transfer,Pune,Monthly rent payment,7,Wednesday,2022.0,,
T13663,U029,06-12-2022,Expense,food,9075.0,UPI,BANGALORE,test,12,Tuesday,2022.0,,
T13339,U065,13-02-2021,Expense,Food,3400.0,CASH,kolkata,EMI payment,2,Saturday,2021.0,,
T12198,U077,16-12-2021,Expense,Utilities,513.0,Cash,CHENNAI,,12,Thursday,2021.0,,
T9596,U098,22-12-2021,Expense,Rent,28550.0,UPi,MUMBAI,Doctor consultation,12,Wednesday,2021.0,,
T0361,U055,16-08-2023,Expense,utilities,1081.0,CRD,PUNE,,8,Wednesday,2023.0,,
T13481,U035,04-07-2021,Expense,Travel,4334.0,Bank Transfr,Delhi,Uber ride,7,Sunday,2021.0,,
T8950,U110,26-05-2021,Expense,HEALTH,3677.0,BankTransfer,lucknow,Gym membership,5,Wednesday,2021.0,,
T0602,U014,25-03-2022,Expense,FOOD,2828.0,upi,mumbai,Monthly rent payment,3,Friday,2022.0,,
T12248,U094,30-09-2023,Expense,Entrtnmnt,9482.0,Crd,hyderabad,EMI payment,9,Saturday,2023.0,,
T12375,U056,14-01-2021,Income,Investment,68275.0,Card,BANGALORE,Monthly rent payment,1,Thursday,2021.0,,
T2346,U001,13-11-2023,Expense,Rentt,34793.0,UPI,kolkata,Online course,11,Monday,2023.0,,
T7014,U013,01-03-2024,Expense,HEALTH,4447.0,BankTransfer,MUM,,3,Friday,2024.0,,
T7255,U113,06-04-2022,Expense,others,4410.0,Card,delhi,misc,4,Wednesday,2022.0,,
T10170,U132,27-08-2023,Expense,Rentt,5906.0,bank transfer,MUM,Medicine,8,Sunday,2023.0,,
T8055,U001,22-12-2021,Expense,entertainment,5385.0,Upi,Lucknow,Online course,12,Wednesday,2021.0,,
T4884,U013,20-02-2024,Expense,Entertain,6798.0,UPi,Ahmedabad,xyz123,2,Tuesday,2024.0,,
T7759,U057,07-10-2023,Expense,education,6170.0,CASH,HYD,,10,Saturday,2023.0,,
T8946,U001,11-04-2024,Expense,Food,3907.0,CRD,hyderabad,ATM withdrawal,4,Thursday,2024.0,,
T13723,U123,10-03-2021,Income,Freelance,33728.0,Upi,,,3,Wednesday,2021.0,,
T6443,U021,15-05-2021,Expense,Entertain,8736.0,Card,chennai,,5,Saturday,2021.0,,
T0485,U081,23-07-2024,Expense,Foodd,742.0,CASH,Bangalore,,7,Tuesday,2024.0,,
T11782,U101,06-11-2023,Income,Salary,64972.0,UPI,HYDERABAD,Lunch,11,Monday,2023.0,,
T9384,U062,26-11-2024,Expense,Entertainment,3454.0,Csh,,Books,11,Tuesday,2024.0,,
T1269,U021,20-04-2022,Expense,Travl,3460.0,UPI,JAIPUR,Coffee,4,Wednesday,2022.0,,
T3105,U084,11-07-2022,Income,Salary,63429.0,,Pune,Online course,7,Monday,2022.0,,
T3130,U096,09-11-2021,Expense,FOOD,9635.0,Bank_Transfer,KOL,Gym membership,11,Tuesday,2021.0,,
T7332,U118,17-06-2022,Expense,Travel,4897.0,CARD,DEL,Internet bill,6,Friday,2022.0,,
T13816,U008,19-07-2023,Expense,Entertain,6978.0,,hyderabad,Movie tickets,7,Wednesday,2023.0,,
T6194,U118,26-06-2021,Expense,SAVINGS,4895.0,upi,BAN,Internet bill,6,Saturday,2021.0,,
T10737,U113,18-12-2022,Expense,Fod,4901.0,CASH,Mumbai,Electricity bill,12,Sunday,2022.0,,
T4198,U060,27-02-2024,Expense,TRAVEL,1272.0,Bank Transfr,Jaipur,Electricity bill,2,Tuesday,2024.0,,
T8187,U069,28-11-2022,Expense,Fod,3837.0,bank transfer,DELHI,Internet bill,11,Monday,2022.0,,
T2931,U046,17-06-2022,Expense,Rnt,999999.0,bank transfer,BANGALORE,Train ticket,6,Friday,2022.0,,
T6459,U092,15-06-2022,Income,Bonus,60619.0,Card,Hyderabad,asdfgh,6,Wednesday,2022.0,,
T9334,U076,25-08-2021,Expense,entertainment,5217.0,UPI,PUNE,Petrol,8,Wednesday,2021.0,,
T7152,U045,15-10-2022,Expense,travel,6096.0,UPI,kolkata,Electricity bill,10,Saturday,2022.0,,
T6859,U149,08-01-2024,Expense,Food,3726.0,,Lucknow,Internet bill,1,Monday,2024.0,,
T5216,U147,13-09-2024,Expense,travel,5935.0,UPI,hyderabad,Books,9,Friday,2024.0,,
T9786,U061,25-11-2024,Expense,rent,7511.0,Upi,LUC,Books,11,Monday,2024.0,,
T7826,U112,15-07-2021,Expense,Savings,1945.0,upi,MUMBAI,Books,7,Thursday,2021.0,,
T6159,U038,14-12-2024,Expense,Foodd,3301.0,UPI,Jaipur,Books,12,Saturday,2024.0,,
T13838,U040,16-04-2022,Expense,RENT,6078.0,BankTransfer,MUMBAI,Books,4,Saturday,2022.0,,
T9578,U106,26-01-2021,Expense,RENT,5871.0,bank transfer,PUNE,Books,1,Tuesday,2021.0,,
T1074,U117,31-03-2024,Expense,Rent,42691.0,csh,Jaipur,Lunch,3,Sunday,2024.0,,
T8873,U017,20-04-2023,Expense,Traval,258.0,Cash,DELHI,lunch,4,Thursday,2023.0,,
T4970,U050,08-07-2022,Expense,RENT,9994.0,UPI,Ahmedabad,Train ticket,7,Friday,2022.0,,
T7918,U098,01-05-2023,Expense,Food,4852.0,card,KOLKATA,Train ticket,5,Monday,2023.0,,
T6829,U048,08-08-2024,Expense,Foodd,999999.0,CRD,mumbai,Petrol,8,Thursday,2024.0,,
T4038,U084,28-04-2022,Expense,Food,1456.0,CASH,,Shopping,4,Thursday,2022.0,,
T2531,U114,17-07-2021,Expense,Rent,40824.0,UPI,lucknow,Shopping,7,Saturday,2021.0,,
T3836,U013,19-04-2021,Income,Salary,23907.0,UPI,AHM,Shopping,4,Monday,2021.0,,
T1037,U084,05-12-2024,Income,Others,892217.0,Card,JAIPUR,Movie tickets,12,Thursday,2024.0,,
T9509,U056,08-04-2022,Expense,Travl,887.0,card,JAIPUR,Restaurant dinner,4,Friday,2022.0,,
T0921,U050,31-05-2024,Expense,travel,6726.0,CARD,KOLKATA,Electricity bill,5,Friday,2024.0,,
T10284,U089,04-06-2021,Expense,rent,3987.0,,AHMEDABAD,Doctor consultation,6,Friday,2021.0,,
T7769,U061,22-05-2024,Expense,Rent,26131.0,Bank Transfr,,Fixed deposit,5,Wednesday,2024.0,,
T0724,U016,06-11-2023,Expense,rent,9527.0,cash,Hyderabad,Gym membership,11,Monday,2023.0,,
T6897,U073,19-02-2021,Expense,Utilties,999999999.0,Csh,Delhi,Medicine,2,Friday,2021.0,,
T7987,U073,02-08-2023,Income,Investment,32845.0,card,CHE,Medicine,8,Wednesday,2023.0,,
T2408,U001,15-08-2022,Expense,Educaton,7554.0,bank transfer,jaipur,Uber ride,8,Monday,2022.0,,
T2153,U028,26-02-2023,Expense,Rentt,29126.0,Csh,Ahmedabad,Doctor consultation,2,Sunday,2023.0,,
T11906,U017,28-06-2022,Expense,Helth,8671.0,Upi,,Movie tickets,6,Tuesday,2022.0,,
T5291,U013,19-04-2024,Expense,travel,312.0,Cash,lucknow,Doctor consultation,4,Friday,2024.0,,
T6589,U049,19-04-2022,Expense,Savings,7310.0,bank transfer,BANGALORE,lone,4,Tuesday,2022.0,,
T12667,U112,31-08-2022,Expense,education,4689.0,Csh,Hyderabad,Internet bill,8,Wednesday,2022.0,,
T5211,U139,18-03-2021,Expense,education,1707.0,UPI,chennai,Internet bill,3,Thursday,2021.0,,
T4694,U118,29-04-2021,Expense,Education,8802.0,Bank Transfer,kolkata,Internet bill,4,Thursday,2021.0,,
T9839,U002,17-11-2022,Expense,Education,9892.0,Crd,,Online course,11,Thursday,2022.0,,
T5487,U028,08-03-2021,Expense,Rent,35977.0,Card,HYDERABAD,!!!,3,Monday,2021.0,,
T13669,U060,16-04-2022,Expense,Foodd,2575.0,Csh,BANGALORE,test,4,Saturday,2022.0,,
T0266,U077,26-03-2024,Expense,food,7215.0,Crd,Pune,Electricity bill,3,Tuesday,2024.0,,
T2586,U066,02-09-2023,Expense,rent,5682.0,,BAN,ATM withdrawal,9,Saturday,2023.0,,
T9946,U057,18-05-2021,Expense,rent,7959.0,CARD,KOLKATA,,5,Tuesday,2021.0,,
T7683,U101,27-05-2023,Expense,Rentt,37019.0,csh,Pune,Grocery shopping,5,Saturday,2023.0,,
T13692,U130,25-12-2023,Expense,Utilities,1048.0,bank transfer,HYD,Movie tickets,12,Monday,2023.0,,
T8157,U031,09-05-2024,Expense,food,838.0,cash,Ahmedabad,Movie tickets,5,Thursday,2024.0,,
T12469,U053,28-04-2021,Expense,Rentt,17155.0,UPI,pune,Lunch,4,Wednesday,2021.0,,
T3179,U075,03-03-2023,Expense,FOOD,709.0,Bank Transfr,ahmedabad,misc,3,Friday,2023.0,,
T11781,U057,20-08-2021,Expense,Rentt,32159.0,UPI,pune,Shopping,8,Friday,2021.0,,
T6078,U047,06-01-2021,Income,Investment,32323.0,Upi,AHMEDABAD,Lunch,1,Wednesday,2021.0,,
T8527,U078,31-10-2023,Expense,Entertain,8528.0,CARD,CHE,Grocery shopping,10,Tuesday,2023.0,,
T9754,U070,01-06-2022,Expense,Food,2348.0,Csh,,Fixed deposit,6,Wednesday,2022.0,,
T4202,U019,05-10-2022,Expense,Utlities,2847.0,bank transfer,Kolkata,Movie tickets,10,Wednesday,2022.0,,
T4123,U076,24-12-2022,Expense,RENT,7169.0,UPI,,Monthly rent payment,12,Saturday,2022.0,,
T7338,U086,25-01-2022,Expense,Food,1663.0,,Pune,Gym membership,1,Tuesday,2022.0,,
T11204,U099,30-12-2023,Expense,rent,7425.0,CARD,CHENNAI,,12,Saturday,2023.0,,
T11415,U011,28-11-2023,Expense,Health,5284.0,BankTransfer,mumbai,,11,Tuesday,2023.0,,
T12116,U048,11-03-2022,Expense,travel,3913.0,bank transfer,KOL,Train ticket,3,Friday,2022.0,,
T2351,U149,02-03-2022,Expense,Entrtnmnt,9061.0,csh,BAN,Internet bill,3,Wednesday,2022.0,,
T8626,U117,30-03-2024,Expense,Rnt,883.0,card,BAN,Electricity bill,3,Saturday,2024.0,,
T2799,U129,21-10-2021,Expense,Education,8842.0,Upi,AHM,Internet bill,10,Thursday,2021.0,,
T10821,U120,27-08-2023,Expense,travel,7979.0,Bank_Transfer,Bangalore,Doctor consultation,8,Sunday,2023.0,,
T12104,U107,06-08-2022,Expense,FOOD,2718.0,Card,CHE,Online course,8,Saturday,2022.0,,
T5446,U126,02-07-2022,Expense,Entrtnmnt,8568.0,bank transfer,BAN,Medicine,7,Saturday,2022.0,,
T6577,U046,04-06-2023,Income,Freelance,75229.0,card,PUN,Restaurant dinner,6,Sunday,2023.0,,
T5185,U076,19-01-2022,Income,Salary,78908.0,Bank Transfr,HYDERABAD,Gym membership,1,Wednesday,2022.0,,
T1975,U137,01-07-2022,Expense,Utility,9048.0,UPi,pune,Internet bill,7,Friday,2022.0,,
T0289,U096,12-09-2022,Expense,Travel,1617.0,card,AHMEDABAD,EMI payment,9,Monday,2022.0,,
T2695,U066,13-06-2023,Expense,food,8883.0,Crd,Lucknow,misc,6,Tuesday,2023.0,,
T9394,U027,06-06-2024,Expense,FOOD,6514.0,BankTransfer,kolkata,,6,Thursday,2024.0,,
T13205,U117,11-10-2024,Income,Salary,22105.0,upi,pune,,10,Friday,2024.0,,
T9486,U013,01-07-2023,Expense,rent,4489.0,BankTransfer,delhi,!!!,7,Saturday,2023.0,,
T6938,U066,07-04-2023,Expense,Entertain,5115.0,bank transfer,LUCKNOW,Fixed deposit,4,Friday,2023.0,,
T5180,U120,21-11-2023,Expense,travel,6347.0,Bank Transfr,hyderabad,Coffee,11,Tuesday,2023.0,,
T11339,U085,09-07-2022,Expense,FOOD,5196.0,card,Kolkata,Coffee,7,Saturday,2022.0,,
T9492,U077,14-05-2021,Expense,entertainment,7738.0,Upi,CHE,asdfgh,5,Friday,2021.0,,
T2325,U006,03-12-2021,Expense,Entertain,1597.0,Bank_Transfer,hyderabad,,12,Friday,2021.0,,
T0923,U112,27-09-2024,Expense,Education,1571.0,CARD,LUC,test,9,Friday,2024.0,,
T10000,U023,14-02-2024,Expense,Fod,7702.0,,BANGALORE,xyz123,2,Wednesday,2024.0,,
T5849,U136,23-01-2023,Expense,RENT,5506.0,CRD,KOL,xyz123,1,Monday,2023.0,,
T11314,U006,28-09-2024,Expense,Health,6823.0,cash,DELHI,Lunch,9,Saturday,2024.0,,
